,Unnamed: 0,Material,Name..global...english,Chemical.group,Phase,CAS.no._1,CAS.no._2,CAS.no._3,csid
169,170,131323,ETHYL LINALOOL,ALCOHOL,,10339-55-6,,,57575556
170,171,105874,ETHYL LINALYL ACETATE,ESTER,,61931-80-4,,,21161945
171,172,131471,ETHYL LINOLEATE,ESTER,,544-35-4,,,4445379
172,173,116165,ETHYL MALTOL,KETONE,S,4940-11-8,,,19804
173,174,611402,ETHYL METHYL BUTYRATE-2,ESTER,,7452-79-1,,,28595366
174,175,105951,ETHYL PHENYL ACETATE,ESTER,,101-97-3,,,23621260
175,176,103250,ETHYL PROPIONATE,ESTER,,105-37-3,,,7463
176,177,131421,ETHYL RICINOLEATE,ESTER,,55066-53-0,,,29355624
177,178,105543,ETHYL SALICYLATE,ESTER,,118-61-6,,,21105897
178,179,130141,ETHYL VANILLIN,ALDEHYDE,S,121-32-4,,,8154
179,180,130966,ETHYLENE BRASSYLATE,ESTER,,105-95-3,,,54974
180,181,608025,EUGENOL NAT.,PHENOL,,97-53-0,,,13876103
181,182,131135,EUGENYL ACETATE,ESTER,,93-28-7,,,6869
182,183,131176,EVERNYL,ESTER,S,4707-47-5,,,70804
183,184,101800,EXALTENONE 942008,KETONE,S,14595-54-1,35720-57-1,,4896164
184,185,120648,EXOVERT HIGH IMPACT,ESTER,,37172-53-5,,,34995989
185,186,656019,FARENAL¬,ALDEHYDE,,141-13-9,,,88859
186,187,130329,FARNESOL,ALCOHOL,,4602-84-0,,,392816
187,188,131317,FENCHOL,ALCOHOL,S,1632-73-1,,,14665
188,189,130337,FENCHYL ACETATE,ESTER,,13851-11-1,,,96486
189,190,690986,FILBERTONE,KETONE,,81925-81-7,,,35013882
190,191,100188,FLEURANIL,NITRILE,,134123-93-6,,,144100
191,192,643592,FLORAL SUPER,ALDEHYDE,,71077-31-1,,,21168193
192,193,106597,FLORHYDRAL,ALDEHYDE,,125109-85-5,,,77763
193,194,690307,FLOROPAL,ACETAL,,5182-36-5,,,641750
194,195,103519,FLOROSA,ALCOHOL,,63500-71-0,,,2285174
195,196,903971,FLOROSA BM / PYRANOL,ALCOHOL,,63500-71-0,,,2285174
196,197,103822,FRAGOLANE¬,ESTER,,6290-17-1,,,5362401
197,198,131479,FRAMBINON¬ METHYL ETHER,KETONE,,104-20-1,,,2015027
198,199,103208,FREESIOL / CORPS 119,ALCOHOL,,13254-34-7,,,75130
199,200,600165,FRESCOLAT¬ MGA,ACETAL,,63187-91-7,,,34987393
200,201,131156,FRESCOMENTHE,KETONE,,14765-30-1,,,5360744
201,202,639794,FRUCTATE¬,ESTER,,155514-23-1,,,0
202,203,106156,FRUITATE,ESTER,,129520-41-8,80623-07-0,80657-64-3,138471
203,204,611400,FRUTINAT,ESTER,,35206-51-0,,,21229949
204,205,172379,FRUTONILE,NITRILE,,69300-15-8,,,2285556
205,206,600291,FURAMINTON/TONKALACTONE»,LACTONE,,65817-24-5,,,34986275
206,207,131225,FURANEOL,ALCOHOL,S,3658-77-3,,,18218
207,208,130354,FURFURYL MERCAPTAN,ESTER,,98-02-2,,,7085
208,209,659519,FURFURYL PYRROLE,HETEROCYCLIC,,1438-94-4,,,28945393
209,210,197635,GALBASCONE,KETONE,,56973-85-4,,,83599
210,211,105864,GARDAMIDE,AMIDE,,84434-18-4,,,143374
211,212,103908,GERANIOL SUPER,ALCOHOL,,106-24-1,,,13849989
212,213,106215,GERANYL ACETATE PURE,ESTER,,105-87-3,,,1266019
213,214,104269,GERANYL ACETONE SYNTH.,KETONE,,3796-70-1,,,1266569
214,215,103599,GERANYL BUTYRATE,ESTER,,106-29-6,,,218979
215,216,105471,GERANYL FORMATE,ESTER,,105-86-2,,,58107147
216,217,131112,GERANYL ISOBUTYRATE,ESTER,,2345-26-8,,,4803060
217,218,131131,GERANYL ISOVALERATE,ESTER,,109-20-6,,,4515295
218,219,601133,GERANYL METHYL ETHER,ETHER,,2565-82-4,,,57575558
219,220,103600,GERANYL PHENYLACETATE,ESTER,,102-22-7,,,4517973
220,221,131093,GERANYL PROPIONATE,ESTER,,105-90-8,,,4511742
221,222,103203,GERANYL TIGLATE,ESTER,,7785-33-3,,,4519264
222,223,103117,GIVESCONE,ESTER,,57934-97-1,77851-07-1,,17461884
223,224,106114,GLOBALIDE¬,LACTONE,,111879-80-2,34902-57-3,,9783147
224,225,600317,GLOBANONE¬,KETONE,S,3100-36-5,,,4895976
225,226,199083,GLYCOLIERRAL,ACETAL,,68901-32-6,,,17461618
226,227,199085,GRISALVA,ETHER,,68611-23-4,90411-73-7,,143278
227,228,131059,GUAIYL ACETATE,ESTER,,61789-17-1,94333-88-7,,0
228,229,105601,GYRANE,ETHER,,24237-00-1,,,82300
229,230,103828,HELIONAL,ALDEHYDE,,1205-17-0,,,58337
230,231,130382,HELIOTROPIN,ALDEHYDE,S,120-57-0,,,13859497
231,232,106228,HELIOTROPIN/PIPERONAL NAT.,ALDEHYDE,S,120-57-0,,,13859497
232,233,104002,HELIOTROPYL ACETATE,ESTER,,326-61-4,,,9101
233,234,600543,HELVETOLIDE,ESTER,,141773-73-1,,,34991351
234,235,130986,HEPTALACTONE GAMMA,LACTONE,,105-21-5,,,7456
235,236,131184,HEPTANAL DIETHYL ACETAL,ACETAL,,688-82-4,,,31043618
236,237,103261,HERBAC,KETONE,,25304-14-7,,,82521
237,238,103247,HERBAFLORAT,ESTER,,5413-60-5,,,99320
238,239,195923,HERBANATE,ESTER,,116126-82-0,,,23349264
239,240,131523,HERBOXAN,ACETAL,,54546-26-8,,,85337
240,241,131337,HERBYL PROPIONATE,ESTER,,17511-60-3,68912-13-0,,78087
241,242,103500,HERCOLYN D-E,ESTER,,8050-15-5,,,0
242,243,130172,HEXALACTONE GAMMA,LACTONE,,695-06-7,,,12232
243,244,131080,HEXENAL TRANS-2,ALDEHYDE,,6728-26-3,,,4444608
244,245,130870,HEXENOL TRANS-2,ALCOHOL,,928-95-0,,,4476685
245,246,130041,HEXYL CINNAMIC ALDEHYDE ALPHA,ALDEHYDE,,101-86-0,165184-98-5,,1267362
246,247,131266,HEXYL ISOBUTYRATE,ESTER,,2349-07-7,,,15988
247,248,198030,HYACINTH BODY,ACETAL,,16930-96-4,,,92907
248,249,130391,HYDRATROPIC ALDEHYDE,ALDEHYDE,,93-53-8,,,6879
249,250,131183,HYDRATROPIC ALDEHYDE DIMETH.ACET,ACETAL,,90-87-9,,,56128
250,251,103026,HYDROXY CITRONELLAL,ALDEHYDE,,107-75-5,,,7600
251,252,104086,HYDROXY CITRONELLAL DIMET-ACETAL,ACETAL,,141-92-4,,,8530
252,253,105027,HYDROXY CITRONELLOL,ALCOHOL,,107-74-4,,,29786089
253,254,107288,HYDROXYAMBRAN,ALCOHOL,,118562-73-5,,,7991730
254,255,103493,ISOAMYL ACETATE NAT.,ESTER,,123-92-2,,,29016
255,256,164115,ISOAMYL ALCOHOL,ALCOHOL,,123-51-3,,,29000
256,257,613013,ISOAMYL BENZOATE,ESTER,,94-46-2,,,6925
257,258,611037,ISOAMYL ISOVALERATE,ESTER,,659-70-1,,,12093
258,259,104578,ISOAMYL PHENYL ACETATE,ESTER,,102-19-2,,,7318
259,260,104141,ISOAMYL SALICYLATE,ESTER,,87-20-7,,,6612
260,261,103263,ISOBORNEOL,ALCOHOL,,124-76-5,,,16739225
261,262,130453,ISOBORNYL ACETATE,ESTER,,125-12-2,,,5323219
262,263,184367,ISOBORNYL CYCLOHEXANOL,ALCOHOL,,4621-04-9,,,19528
263,264,131237,ISOBORNYL PROPIONATE,ESTER,,2756-56-1,,,19954883
264,265,104756,ISOBUTYL ACETATE,ESTER,,110-19-0,,,7747
265,266,660181,ISOBUTYL CINNAMATE,ESTER,,122-67-8,,,28963
266,267,105390,ISOBUTYL ISOBUTYRATE,ESTER,,97-85-8,,,7073
267,268,131239,"ISOBUTYL METHOXYPYRAZINE-3,2",HETEROCYCLIC,,24683-00-9,,,30208
268,269,105174,ISOBUTYL PHENYLACETATE,ESTER,,102-13-6,,,54959
269,270,103831,ISOBUTYL QUINOLINE,HETEROCYCLIC,,68198-80-1,,,98541
270,271,104354,ISOBUTYL QUINOLINE DL 100%,HETEROCYCLIC,,65442-31-1,,,93359
271,272,105683,ISOBUTYL SALICYLATE,ESTER,,87-19-4,,,6611
272,273,131275,ISODAMASCON¬,KETONE,,39872-57-6,,,52563506
273,274,103296,ISODODECANE,HYDROCARBON,,31807-55-3,93685-81-5,,21934
274,275,104768,ISOEUGENOL,PHENOL,,97-54-1,,,21106129
275,276,103615,ISOEUGENYL ACETATE,ESTER,S,93-29-8,,,765093
276,277,608049,ISOEUGENYL METHYL ETHER,ETHER,,93-16-3,,,26331475
277,278,104012,ISOJASMONE B 11,KETONE,,95-41-0,,,60134
278,279,659667,ISOLONGIFOLANON COEUR,KETONE,,23787-90-8,29461-14-1,,57579827
279,280,600359,ISOMUSCONE¬,KETONE,,2550-52-9,,,68213
280,281,164854,ISONONANOL,ALCOHOL,,3452-97-9,,,32786946
281,282,131210,ISONONYL ALDEHYDE S,ALDEHYDE,,5435-64-3,,,20276
282,283,103315,ISOOCTANONE,KETONE,,541-85-5,,,7534
283,284,105516,ISOPENTYRATE,ESTER,,80118-06-5,,,2286321
284,285,131418,ISOPHYTOL,ALCOHOL,,505-32-8,,,57576675
285,286,103452,ISOPROPYL CYCLOHEXANOL,ALCOHOL,,993925,,,19528
286,287,131390,"ISOPROPYL METHOXYPYRAZINE-2,3",HETEROCYCLIC,,25773-40-4,,,30649
287,288,132687,ISOPROPYL METHYLBUTYRATE-2,ESTER,,66576-71-4,,,34996281
288,289,131215,ISOPROPYL QUINOLINE,HETEROCYCLIC,,135-79-5,,,60617
289,290,601181,ISOPULEGOL FRACTION EX EUCALYPTUS OIL,ALCOHOL,,89-79-2,,,149356
290,291,131332,ISORALDEINE 70,KETONE,,1335-46-2,,,4521710
291,292,103928,ISORALDEINE 95,KETONE,,127-51-5,,,4522510
292,293,600000,ISOTRIDECYL ACETATE,ESTER,,69103-23-7,,,100612
293,294,164424,ISOVALERIC ACID,ACID,,503-74-2,,,10001
294,295,164421,ISOVALERIC ALDEHYDE,ALDEHYDE,,590-86-3,,,11065
295,296,100216,JACINTHAFLOR¬,ACETAL,,33941-99-0,,,105556
296,297,690965,JASMAPRUNAT,ESTER,,6413-10-1,,,72995
297,298,104686,JASMIN LACTONE,LACTONE,,25524-95-2,,,34990982
298,299,613148,JASMOL,ALCOHOL,,92368-90-6,,,34996286
299,300,104235,JASMOLACTONE CNC,LACTONE,,32764-98-0,,,34985514
300,301,131338,JASMOPOL AC1300,ESTER,,37172-53-5,,,34995989
301,302,103623,JASMOPYRANE,ESTER,,18871-14-2,,,1361549
302,303,127988,JAVANOL,ALCOHOL,,198404-98-7,,,13658169
303,304,106255,JEECOL ISA / ISOSTEARYL ALCOHOL,ALCOHOL,,27458-93-1,,,34992616
304,305,131222,JESSEMAL,ESTER,,38285-49-3,,,32696605
305,306,140419,KEPHALIS,ETHER,,36306-86-2,36306-87-3,,106156
306,307,131367,METHYL GERANIATE,ESTER,,1189-09-9,,,28689539
307,308,103396,METHYL GUAIACOL-4,PHENOL,,93-51-6,,,21105936
308,309,130576,"METHYL HEPTENONE-6,5,2",KETONE,,110-93-0,,,9478
309,310,103675,METHYL IONONE BETA COEUR (66559),KETONE,,1335-46-2,,,4521710
310,311,104250,METHYL IONONE GAMMA COEUR,KETONE,,127-51-5,,,4522510
311,312,103305,METHYL LAVENDER KETONE,KETONE,,67633-95-8,67801-33-6,,95149
312,313,106104,"METHYL METHOXY BUTANOL-3,3",ALCOHOL,,56539-66-3,,,55953
313,314,611401,METHYL METHYLBUTYRATE-2,ESTER,,868-57-5,,,12788
314,315,660240,METHYL NAPHTHYL KETONE BETA CRYST,KETONE,S,93-08-3,,,6855
315,316,131520,"METHYL PHENYLHEXENAL TRANS-5,2,2",ALDEHYDE,,21834-92-4,,,4576448
316,317,131424,METHYL TUBERATE PURE 100%,LACTONE,,33673-62-0,,,4207455
317,318,660564,METHYL UNDECYLENATE,ESTER,,111-81-9,,,7846
318,319,164487,METHYLBUTYRIC ACID-2,ACID,,116-53-0,,,8012
319,320,131403,"METHYLPENTENOIC ACID-2,2",ACID,,3142-72-1,,,5370713
320,321,142048,MINTONAT,ESTER,,67859-96-5,,,1064875
321,322,600092,MUGETANOL,ALCOHOL,,63767-86-2,,,102297
322,323,659479,MUGUETALCOHOL,ALCOHOL,,13351-61-6,,,75226
323,324,195930,MUSCENONE,KETONE,,63314-79-4,,,57523122
324,325,131545,MUSCONE,KETONE,,541-91-3,,,10483
325,326,197006,MYRALDYL ACETATE,ESTER,,72403-67-9,,,57261593
326,327,104032,MYRCENYL ACETATE,ESTER,,1118-39-4,,,13599
327,328,104663,MYROXYDE,ETHER,,69103-20-4,,,11252541
328,329,659673,MYSORE ACETATE,ESTER,,30772-69-1,,,141998
329,330,103836,NECTARYL,KETONE,,95962-14-4,,,153032
330,331,622501,NEO HELIOPAN¬ 357,KETONE,S,70356-09-1,,,46261
331,332,660523,NEO HELIOPAN¬ AV,KETONE,,5466-77-3,,,4511170
332,333,116210,NEO HELIOPAN¬ BB,KETONE,S,131-57-7,,,4471
333,334,131494,NEO HELIOPAN¬ OS,KETONE,,118-60-5,,,8061
334,335,690451,NEOCYCLO CITRAL,ALDEHYDE,,1335-66-6,,,21171842
335,336,611460,NEONONYL ACETATE,ESTER,,58430-94-7,,,38985
336,337,103885,NEROL 900,ALCOHOL,,106-25-2,,,558917
337,338,605361,NEROL 900 FG,ALCOHOL,,106-25-2,,,558917
338,339,130649,NEROLIDOL,ALCOHOL,,7212-44-4,,,8549
339,340,130659,NEROLIN BROMELIA,ETHER,S,93-18-5,,,6862
340,341,665020,NEROLIN YARA YARA CRIST.,ETHER,S,93-04-9,,,6852
341,342,600321,NEROLIONE,KETONE,S,23911-56-0,,,1869668
