"","Material","Name..global...english","Chemical.group","Phase","CAS.no._1","CAS.no._2","CAS.no._3"
"209",659519,"FURFURYL PYRROLE","HETEROCYCLIC","","1438-94-4",NA,NA
"210",197635,"GALBASCONE","KETONE","","56973-85-4",NA,NA
"211",105864,"GARDAMIDE","AMIDE","","84434-18-4",NA,NA
"212",103908,"GERANIOL SUPER","ALCOHOL","","106-24-1",NA,NA
"213",106215,"GERANYL ACETATE PURE","ESTER","","105-87-3",NA,NA
"214",104269,"GERANYL ACETONE SYNTH.","KETONE","","3796-70-1",NA,NA
"215",103599,"GERANYL BUTYRATE","ESTER","","106-29-6",NA,NA
"216",105471,"GERANYL FORMATE","ESTER","","105-86-2",NA,NA
"217",131112,"GERANYL ISOBUTYRATE","ESTER","","2345-26-8",NA,NA
"218",131131,"GERANYL ISOVALERATE","ESTER","","109-20-6",NA,NA
"219",601133,"GERANYL METHYL ETHER","ETHER","","2565-82-4",NA,NA
"220",103600,"GERANYL PHENYLACETATE","ESTER","","102-22-7",NA,NA
"221",131093,"GERANYL PROPIONATE","ESTER","","105-90-8",NA,NA
"222",103203,"GERANYL TIGLATE","ESTER","","7785-33-3",NA,NA
"223",103117,"GIVESCONE","ESTER","","57934-97-1","77851-07-1",NA
"224",106114,"GLOBALIDE¨","LACTONE","","111879-80-2","34902-57-3",NA
"225",600317,"GLOBANONE¨","KETONE","S","3100-36-5",NA,NA
"226",199083,"GLYCOLIERRAL","ACETAL","","68901-32-6",NA,NA
"227",199085,"GRISALVA","ETHER","","68611-23-4","90411-73-7",NA
"228",131059,"GUAIYL ACETATE","ESTER","","61789-17-1","94333-88-7",NA
"229",105601,"GYRANE","ETHER","","24237-00-1",NA,NA
"230",103828,"HELIONAL","ALDEHYDE","","1205-17-0",NA,NA
"231",130382,"HELIOTROPIN","ALDEHYDE","S","120-57-0",NA,NA
"232",106228,"HELIOTROPIN/PIPERONAL NAT.","ALDEHYDE","S","120-57-0",NA,NA
"233",104002,"HELIOTROPYL ACETATE","ESTER","","326-61-4",NA,NA
"234",600543,"HELVETOLIDE","ESTER","","141773-73-1",NA,NA
"235",130986,"HEPTALACTONE GAMMA","LACTONE","","105-21-5",NA,NA
"236",131184,"HEPTANAL DIETHYL ACETAL","ACETAL","","688-82-4",NA,NA
"237",103261,"HERBAC","KETONE","","25304-14-7",NA,NA
"238",103247,"HERBAFLORAT","ESTER","","5413-60-5",NA,NA
"239",195923,"HERBANATE","ESTER","","116126-82-0",NA,NA
"240",131523,"HERBOXAN","ACETAL","","54546-26-8",NA,NA
"241",131337,"HERBYL PROPIONATE","ESTER","","17511-60-3","68912-13-0",NA
"242",103500,"HERCOLYN D-E","ESTER","","8050-15-5",NA,NA
"243",130172,"HEXALACTONE GAMMA","LACTONE","","695-06-7",NA,NA
"244",131080,"HEXENAL TRANS-2","ALDEHYDE","","6728-26-3",NA,NA
"245",130870,"HEXENOL TRANS-2","ALCOHOL","","928-95-0",NA,NA
"246",130041,"HEXYL CINNAMIC ALDEHYDE ALPHA","ALDEHYDE","","101-86-0","165184-98-5",NA
"247",131266,"HEXYL ISOBUTYRATE","ESTER","","2349-07-7",NA,NA
"248",198030,"HYACINTH BODY","ACETAL","","2556-10-7",NA,NA
"249",130391,"HYDRATROPIC ALDEHYDE","ALDEHYDE","","93-53-8",NA,NA
"250",131183,"HYDRATROPIC ALDEHYDE DIMETH.ACET","ACETAL","","90-87-9",NA,NA
"251",103026,"HYDROXY CITRONELLAL","ALDEHYDE","","107-75-5",NA,NA
"252",104086,"HYDROXY CITRONELLAL DIMET-ACETAL","ACETAL","","141-92-4",NA,NA
"253",105027,"HYDROXY CITRONELLOL","ALCOHOL","","107-74-4",NA,NA
