AKOS smile,CID,CanonicalSMILES,density g/cm3,MW,AKOS,weight (g),stored
CCOC(=O)c1ccc(cc1)c1ccc(cc1)C=O,10977997,CCOC(=O)C1=CC=C(C=C1)C2=CC=C(C=C2)C=O,,254.285,AKOS024260640,,
CCOC(=O)c1ccc(cc1)CC(=O)c1ccccc1,24727462,CCOC(=O)C1=CC=C(C=C1)CC(=O)C2=CC=CC=C2,,268.312,AKOS016023015,,
CCOC(=O)c1ccc(cc1)CC=C,11263974,CCOC(=O)C1=CC=C(C=C1)CC=C,,190.242,AKOS006275881,,
CCOC(=O)c1ccc(cc1)CCC,12766527,CCCC1=CC=C(C=C1)C(=O)OCC,,192.258,AKOS022174073,,
CCOC(=O)c1ccc(cc1)CCC(=C)C,24721809,CCOC(=O)C1=CC=C(C=C1)CCC(=C)C,,218.296,AKOS016016810,,
CCOC(=O)c1ccc(cc1)CCc1ccccc1,70700422,CCOC(=O)C1=CC=C(C=C1)CCC2=CC=CC=C2,,254.329,AKOS016003433,,
CCOC(=O)c1ccc(cc1)I,142891,CCOC(=O)C1=CC=C(C=C1)I,,276.073,AKOS005258847,,
CCOC(=O)c1ccc(cc1C)F,18920184,CCOC(=O)C1=C(C=C(C=C1)F)C,,182.194,AKOS006293745,,
CCOC(=O)c1cccc(c1)C(F)(F)F,144790,CCOC(=O)C1=CC(=CC=C1)C(F)(F)F,,218.175,AKOS005257791,,
CCOC(=O)c1cccc(c1)c1ccc(cc1)C=O,15382496,CCOC(=O)C1=CC=CC(=C1)C2=CC=C(C=C2)C=O,,254.285,AKOS022172857,,
