"","AKOS.smile","CID","CanonicalSMILES","density.g.cm3","MW","AKOS","weight..g.","stored"
"320","OC(=O)CCCCCCCCCCCC(=O)O",10458,"C(CCCCCC(=O)O)CCCCCC(=O)O",,244.331,"005381208",,
"126","CCCCCC/C=C/C(=O)OC",5368076,"CCCCCCC=CC(=O)OC",,170.252,"005381295",,
"411","OCCCCCCCCCCC(=O)O",77237,"C(CCCCCO)CCCCC(=O)O",,202.294,"005394200",,
"45","CC(CCOC(=O)c1ccccc1)C",7193,"CC(C)CCOC(=O)C1=CC=CC=C1",,192.258,"005720808",,
"112","CCCCC/C=C\C",5356796,"CCCCCC=CC",,112.216,"006228003",,
"91","CCCC/C=C\CCCC",5364449,"CCCCC=CCCCC",,140.27,"006228218",,
"377","OCC(C1CCCCC1)C",79509,"CC(CO)C1CCCCC1",,142.242,"006228465",,
"236","CCOC(=O)CCCCCC(=O)O",118383,"CCOC(=O)CCCCCC(=O)O",,188.223,"006228602",,
"117","CCCCc1ccc(cc1)C(=O)OC",88630,"CCCCC1=CC=C(C=C1)C(=O)OC",,192.258,"006229551",,
"60","CC1CCC(C(C1)O)C",97959,"CC1CCC(C(C1)O)C",,128.215,"006229596",,
"18","C/C=C\CCCO",5365589,"CC=CCCCO",,100.161,"006230030",,
"125","CCCCCC/C=C/C(=O)O",5312586,"CCCCCCC=CC(=O)O",,156.225,"006230171",,
"287","O[C@@H]1CCCC[C@H]1C(C)(C)C",6995537,"CC(C)(C)C1CCCCC1O",,156.269,"006237378",,
"196","CCOC(=O)c1ccc(cc1)C=O",80498,"CCOC(=O)C1=CC=C(C=C1)C=O",,178.187,"006240956",,
"214","CCOC(=O)c1ccccc1C=O",10943020,"CCOC(=O)C1=CC=CC=C1C=O",,178.187,"006242421",,
"314","O=CCCCCCC(=O)OC",3015770,"COC(=O)CCCCCC=O",,158.197,"006272656",,
"21","C=CC(=C)C[C@@H](C=C(C)C)O",92301,"CC(=CC(CC(=C)C=C)O)C",,152.237,"006272671",,
"68","CCC(/C=C/C=O)O",5283314,"CCC(C=CC=O)O",,114.144,"006273451",,
"32","CC(/C=C/C(O)(C)C)(O)C",5875483,"CC(C)(C=CC(C)(C)O)O",,144.214,"006274274",,
"16","C/C(=C\C)/CO",6433417,"CC=C(C)CO",,86.134,"006274657",,
"350","OC1[C@H]2C[C@@H]3C[C@H]1C[C@@](C2)(C3)O",6925928,"C1C2CC3CC(C2)(CC1C3O)O",,168.236,"006275755",,
"26","C=CCc1ccccc1C(=O)OCC",9920599,"CCOC(=O)C1=CC=CC=C1CC=C",,190.242,"006275879",,
"25","C=CCc1cccc(c1)C(=O)OCC",12070479,"CCOC(=O)C1=CC(=CC=C1)CC=C",,190.242,"006275880",,
"199","CCOC(=O)c1ccc(cc1)CC=C",11263974,"CCOC(=O)C1=CC=C(C=C1)CC=C",,190.242,"006275881",,
"104","CCCCC(CCC(=O)OCC)C",92058,"CCCCC(C)CCC(=O)OCC",,186.295,"006276325",,
"70","CCC(=O)CCCCCC(=O)O",545982,"CCC(=O)CCCCCC(=O)O",,172.224,"006277607",,
"101","CCCCC(=O)CCCCC(=O)O",5282983,"CCCCC(=O)CCCCC(=O)O",,186.251,"006277609",,
"82","CCCC(=O)CCCCC(=O)O",5282981,"CCCC(=O)CCCCC(=O)O",,172.224,"006277890",,
"83","CCCC(=O)CCCCCC(=O)O",5312882,"CCCC(=O)CCCCCC(=O)O",,186.251,"006277891",,
"225","CCOC(=O)CCCCC(=O)C1CC1",24727443,"CCOC(=O)CCCCC(=O)C1CC1",,198.262,"006278161",,
"223","CCOC(=O)CCCC(=O)CC",12487640,"CCC(=O)CCCC(=O)OCC",,172.224,"006278162",,
"71","CCC(=O)CCCCCCC(=O)O",5282984,"CCC(=O)CCCCCCC(=O)O",,186.251,"006278403",,
"228","CCOC(=O)CCCCC(=O)CC",282994,"CCC(=O)CCCCC(=O)OCC",,186.251,"006278411",,
