,AKOS.smile,CID,CanonicalSMILES,density.g.cm3,MW,AKOS,quantity (g),stored,,,
302,O=C(c1ccccc1)OCCC(c1ccccc1)OC(=O)c1ccccc1,2750414,C1=CC=C(C=C1)C(CCOC(=O)C2=CC=CC=C2)OC(=O)C3=CC=CC=C3,,360.409,4905729,0.01310,,,,
376,OCC(C1(C)CCC(C1(C)C)C)O,2750747,CC1CCC(C1(C)C)(C)C(CO)O,,186.295,4905936,0.01460,,,,
389,OCC1C(CCC(C1=O)C)C(C)C,2750703,CC1CCC(C(C1=O)CO)C(C)C,,184.279,4905948,0.01940,,,,
383,OCC1(C)CCC(C1(C)C)C,2750726,CC1CCC(C1(C)C)(C)CO,,156.269,4906034,0.01240,,,,
80,CCC1(O)CCCC(C1)C,2750694,CCC1(CCCC(C1)C)O,,142.242,4906078,0.01740,,,,
79,CCC1(O)CC(CCC1C)C(C)C,2750695,CCC1(CC(CCC1C)C(C)C)O,,184.323,4906087,0.01600,,,,
38,CC(C1CCC(C(C1)O)C)C,86850,CC1CCC(CC1O)C(C)C,,156.269,4906088,0.01470,,,,
390,OCC1CC2(C(C1CC2)(C)C)C,2750898,CC1(C2CCC1(CC2CO)C)C,,168.28,4906174,,,,,
17,C/C(=C\C=C)/CO,5705553,CC(=CC=C)CO,,98.145,4907369,"not shipped, structure altered",do not have,,,
307,O=C1OC(/C=C/c2ccccc2)Cc2c1cccc2,5705611,C1C(OC(=O)C2=CC=CC=C21)C=CC3=CC=CC=C3,,250.297,4907614,0.01180,,,,
41,CC(CCC[C@@H]([C@H]1CCC2[C@]1(C)CCC1C2CC[C@@H]2[C@]1(C)CC[C@@H](C2)O)C)C,2754261,CC(C)CCCC(C)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C,,388.68,4909035,0.01500,,,,
85,CCCC(C(C(O)C)C)O,248872,CCCC(C(C)C(C)O)O,,146.23,4909536,0.01250,,,,
381,OCC=CC#CCC,2755044,CCC#CC=CCO,,110.156,4909686,0.01050,,,,
57,CC1=CCC[C@H](C([C@@H]1O)(C)C)O,2755160,CC1=CCCC(C(C1O)(C)C)O,,170.252,4909714,0.01360,,,,
153,CCCCCCCCCCCC(=O)OC,8139,CCCCCCCCCCCC(=O)OC,,214.349,4910323,0.01530,,,,
158,CCCCCCCCCCCCCC(=O)OC,31284,CCCCCCCCCCCCCC(=O)OC,,242.403,4910358,0.01760,,,,
162,CCCCCCCCCCCCCCCC(=O)OCC,12366,CCCCCCCCCCCCCCCC(=O)OCC,,284.484,4910397,0.01210,,,,
212,CCOC(=O)c1ccccc1C(=O)C,2799640,CCOC(=O)C1=CC=CC=C1C(=O)C,,192.214,5070770,0.01000,,,,
243,COC(=O)/C=C/OC(=O)c1ccc(cc1)C,5910650,CC1=CC=C(C=C1)C(=O)OC=CC(=O)OC,,220.224,5093990,0.01000,,,,
241,ClCCOC(=O)c1ccccc1,95952,C1=CC=C(C=C1)C(=O)OCCCl,,184.619,5198580,0.01020,,,,
188,CCOC(=O)c1ccc(cc1)C,66743,CCOC(=O)C1=CC=C(C=C1)C,,164.204,5198691,0.01000,,,,
7,BrCCOC(=O)c1ccccc1,523090,C1=CC=C(C=C1)C(=O)OCCBr,,229.073,5203196,0.01000,fridge,,,
399,OCCC1CCCCC1,20508,C1CCC(CC1)CCO,,128.215,5207193,0.01020,,,,
262,COC(=O)c1ccccc1c1ccccc1,9920766,COC(=O)C1=CC=CC=C1C2=CC=CC=C2,,212.248,5216884,,,,,
