X,CID,CanonicalSMILES,AKOS,phase,density.g.cm3,MW,csid,density
110,4901,CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O,4903632,S,NA,320.517,190585,1.1
111,2748166,CC(C1(CCC2C1(CCC3C2CCC4(C3(CCC(C4)O)C)C)C)O)O,4903645,S,NA,350.543,3099395,1.1
112,2748135,CC(C1(CC2C3CCC4(CC(CCC4(C3CCC2(C1)C)C)O)C)O)O,4903649,S,NA,350.543,3182764,1.1
113,2748136,CC12CCC(CC1CCC3C2CCC4(C3CCC4(C)O)C)O,4903650,S,NA,306.49,240351,1.1
114,623919,CC12CCCCC1CCC3C2CCC4(C3CCC4O)C,4903651,S,NA,276.464,542037,1.0
115,2748170,CCC1(CCC2(C3CCC4(C(C3CCC2(C1)C)CCC4O)C)C)O,4903668,S,NA,334.544,2852810,1.0
116,2748240,CC(C1(CCC2C1(CCC3C2CCC4(C3(CCC(C4)O)C)C)C)O)O,4903788,S,NA,350.543,3099395,1.1
117,2748241,CC(C1(CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O)O,4903793,S,NA,336.516,451885,1.1
118,2749621,CCCC(C(CC)(C1CCCCC1)O)O,4905073,S,NA,214.349,2030950,1.0
119,2750154,CC1(C2CCC1(C(C2CCO)O)C)C,4905463,S,NA,198.306,2031442,1.0
120,2750414,C1=CC=C(C=C1)C(CCOC(=O)C2=CC=CC=C2)OC(=O)C3=CC=CC=C3,4905729,S,NA,360.409,2031688,1.2
121,2750747,CC1CCC(C1(C)C)(C)C(CO)O,4905936,S,NA,186.295,2032007,0.9
122,2750726,CC1CCC(C1(C)C)(C)CO,4906034,S,NA,156.269,2031986,0.8
123,5705611,C1C(OC(=O)C2=CC=CC=C21)C=CC3=CC=CC=C3,4907614,S,NA,250.297,4645187,1.2
124,2754261,CC(C)CCCC(C)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C,4909035,S,NA,388.68,3127,1.0
125,2755160,CC1=CCCC(C(C1O)(C)C)O,4909714,S,NA,170.252,2036000,1.0
126,75851,CC1(CC(CC(C1)(C)C)O)C,6282591,S,NA,156.269,68359,0.9
127,2750589,CC1(C(CCC1(C)CO)CO)C,16038000,S,NA,172.268,2031851,0.9
128,84820163,C=C(CCCCCC(=C)CO)CO,24262777,S,NA,184.279,29785548,0.9
